InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537081,STK391,Item STK391,40,2024-06-23 14:55:34.763862,47.0,10284,France
545115,STK494,Item STK494,35,2024-06-23 15:01:36.763862,29.48,11699,Italy
538697,STK206,Item STK206,44,2024-06-23 15:08:54.763862,9.29,10579,Spain
543315,STK405,Item STK405,25,2024-06-23 15:15:24.763862,11.59,10378,Italy
545801,STK953,Item STK953,4,2024-06-23 15:22:25.763862,98.27,10595,France
541377,STK797,Item STK797,27,2024-06-23 15:26:23.763862,87.54,11835,Spain
538671,STK892,Item STK892,4,2024-06-23 15:33:46.763862,29.81,10619,Germany
539034,STK123,Item STK123,33,2024-06-23 15:38:46.763862,68.94,10887,Spain
541566,STK351,Item STK351,11,2024-06-23 15:44:13.763862,88.51,10853,France
542438,STK492,Item STK492,40,2024-06-23 15:46:08.763862,6.44,11717,Canada
537700,STK885,Item STK885,8,2024-06-23 16:07:47.763862,96.05,11147,Spain
543843,STK871,Item STK871,2,2024-06-23 16:16:19.763862,67.25,10506,USA
C540200,STK252,Item STK252,-3,2024-06-23 16:24:07.763862,69.37,10885,USA
543909,STK777,Item STK777,41,2024-06-23 16:39:34.763862,39.84,11412,Spain
551137,STK177,Item STK177,35,2024-06-23 16:40:11.763862,20.14,10291,Germany
543140,STK971,Item STK971,23,2024-06-23 16:45:34.763862,86.91,10546,India
546625,STK960,Item STK960,2,2024-06-23 16:50:36.763862,45.72,10519,Canada
C537004,STK638,Item STK638,-7,2024-06-23 17:50:27.763862,82.24,11917,USA
547109,STK257,Item STK257,37,2024-06-23 17:52:10.763862,12.06,11480,Canada
546869,STK771,Item STK771,1,2024-06-23 18:19:59.763862,37.97,10500,France
539228,STK977,Item STK977,43,2024-06-23 18:44:33.763862,43.74,10165,France
540217,STK547,Item STK547,25,2024-06-23 18:46:14.763862,90.91,11611,United Kingdom
547251,STK233,Item STK233,30,2024-06-23 18:54:55.763862,47.48,11739,USA
544961,STK769,Item STK769,37,2024-06-23 19:02:29.763862,83.43,10949,United Kingdom
C544165,STK717,Item STK717,-14,2024-06-23 19:17:09.763862,11.62,10800,Germany
549908,STK831,Item STK831,13,2024-06-23 19:41:28.763862,97.64,10375,Italy
C538157,STK130,Item STK130,-5,2024-06-23 19:42:19.763862,55.94,11965,USA
550733,STK145,Item STK145,20,2024-06-23 20:05:05.763862,22.33,10349,India
545905,STK236,Item STK236,1,2024-06-23 20:12:03.763862,36.12,11342,USA
550071,STK930,Item STK930,17,2024-06-23 20:27:53.763862,34.46,10200,Canada
538449,STK459,Item STK459,37,2024-06-23 20:32:23.763862,21.58,11241,USA
546076,STK917,Item STK917,8,2024-06-23 21:17:46.763862,67.57,11459,USA
C540586,STK907,Item STK907,-3,2024-06-23 21:38:15.763862,98.66,11473,United Kingdom
551104,STK453,Item STK453,45,2024-06-23 21:42:26.763862,43.59,11055,Italy
537398,STK888,Item STK888,41,2024-06-23 22:03:28.763862,86.74,11084,Germany
541331,STK833,Item STK833,34,2024-06-23 22:06:34.763862,25.07,10109,France
543662,STK957,Item STK957,19,2024-06-23 22:09:25.763862,91.35,10415,Spain
545935,STK167,Item STK167,39,2024-06-23 22:12:48.763862,63.2,10306,United Kingdom
545534,STK890,Item STK890,5,2024-06-23 22:34:28.763862,89.74,10798,France
549760,STK696,Item STK696,37,2024-06-23 22:53:38.763862,66.67,11919,United Kingdom
543977,STK194,Item STK194,5,2024-06-23 23:05:16.763862,3.82,11057,Canada
549686,STK880,Item STK880,46,2024-06-23 23:14:43.763862,55.8,10478,Spain
543580,STK276,Item STK276,45,2024-06-23 23:21:10.763862,71.7,10750,France
550949,STK618,Item STK618,32,2024-06-23 23:40:41.763862,1.46,11838,Germany
539071,STK537,Item STK537,16,2024-06-23 23:50:33.763862,37.34,11673,Italy
538230,STK535,Item STK535,6,2024-06-23 23:55:43.763862,15.68,11120,India
537725,STK208,Item STK208,44,2024-06-23 23:57:10.763862,70.23,10353,Italy
546908,STK324,Item STK324,13,2024-06-24 00:02:55.763862,80.38,10066,Germany
540574,STK176,Item STK176,45,2024-06-24 00:07:17.763862,67.44,11845,France
549516,STK877,Item STK877,4,2024-06-24 00:16:12.763862,37.85,11304,Spain
C537799,STK950,Item STK950,-32,2024-06-24 00:22:58.763862,87.35,11584,France
545970,STK233,Item STK233,31,2024-06-24 00:46:09.763862,30.32,10808,France
551256,STK338,Item STK338,21,2024-06-24 00:49:55.763862,56.85,10512,Italy
C538235,STK994,Item STK994,-1,2024-06-24 00:52:10.763862,66.69,11101,Canada
542615,STK329,Item STK329,45,2024-06-24 00:55:12.763862,26.93,11157,Germany
537907,STK261,Item STK261,17,2024-06-24 00:55:48.763862,38.33,11758,USA
545201,STK123,Item STK123,42,2024-06-24 01:10:36.763862,38.47,10653,United Kingdom
541306,STK773,Item STK773,31,2024-06-24 01:14:14.763862,42.23,10480,Italy
546996,STK717,Item STK717,35,2024-06-24 01:15:36.763862,64.54,11482,Italy
C547799,STK611,Item STK611,-4,2024-06-24 01:19:08.763862,53.95,11095,India
547017,STK513,Item STK513,15,2024-06-24 01:23:00.763862,38.04,11787,France
544764,STK935,Item STK935,34,2024-06-24 01:37:25.763862,47.01,11518,Canada
550897,STK458,Item STK458,42,2024-06-24 01:57:13.763862,74.98,11363,Germany
547866,STK505,Item STK505,33,2024-06-24 02:06:54.763862,75.97,10651,Germany
537172,STK493,Item STK493,36,2024-06-24 02:09:55.763862,68.79,10630,USA
536746,STK797,Item STK797,19,2024-06-24 02:18:07.763862,68.87,10594,India
545535,STK141,Item STK141,38,2024-06-24 02:37:28.763862,89.23,10269,United Kingdom
538643,STK685,Item STK685,20,2024-06-24 03:09:11.763862,81.4,10528,USA
540399,STK936,Item STK936,30,2024-06-24 03:22:04.763862,81.42,10543,India
536934,STK512,Item STK512,47,2024-06-24 03:40:42.763862,46.47,11443,Germany
537162,STK477,Item STK477,22,2024-06-24 04:05:55.763862,3.63,11469,Canada
537768,STK806,Item STK806,11,2024-06-24 04:13:07.763862,84.75,11570,USA
541563,STK618,Item STK618,38,2024-06-24 04:25:10.763862,42.47,10140,Italy
540256,STK227,Item STK227,31,2024-06-24 04:25:30.763862,33.71,11923,USA
539295,STK774,Item STK774,8,2024-06-24 04:32:14.763862,23.16,11934,Italy
551247,STK435,Item STK435,14,2024-06-24 04:40:26.763862,75.37,10988,Spain
C541503,STK685,Item STK685,-14,2024-06-24 04:52:41.763862,58.03,11725,Germany
543254,STK358,Item STK358,34,2024-06-24 04:56:10.763862,83.43,10523,USA
541148,STK911,Item STK911,18,2024-06-24 04:58:36.763862,20.2,10652,USA
C550221,STK328,Item STK328,-1,2024-06-24 04:59:21.763862,31.28,10776,Italy
543876,STK850,Item STK850,49,2024-06-24 05:02:23.763862,94.57,11739,Italy
C538376,STK123,Item STK123,-44,2024-06-24 05:33:46.763862,34.6,10621,Canada
544543,STK531,Item STK531,28,2024-06-24 05:44:39.763862,37.63,11768,India
536433,STK457,Item STK457,30,2024-06-24 05:52:59.763862,34.17,11353,Germany
544932,STK252,Item STK252,1,2024-06-24 06:26:50.763862,31.12,10818,Spain
547448,STK810,Item STK810,11,2024-06-24 06:37:22.763862,43.38,10104,India
543254,STK903,Item STK903,24,2024-06-24 06:38:19.763862,53.28,11232,Germany
545615,STK918,Item STK918,37,2024-06-24 06:47:07.763862,15.71,11113,USA
543668,STK823,Item STK823,42,2024-06-24 07:05:26.763862,18.83,11198,Spain
538060,STK370,Item STK370,26,2024-06-24 07:14:43.763862,4.79,11043,Italy
544873,STK111,Item STK111,25,2024-06-24 07:44:52.763862,68.6,10850,Germany
538957,STK615,Item STK615,45,2024-06-24 07:48:26.763862,1.93,10372,India
542526,STK322,Item STK322,42,2024-06-24 07:52:59.763862,80.7,10721,Italy
537445,STK655,Item STK655,21,2024-06-24 07:58:16.763862,77.45,10131,Italy
C550405,STK268,Item STK268,-12,2024-06-24 07:58:38.763862,32.47,11988,Italy
537858,STK658,Item STK658,19,2024-06-24 07:59:38.763862,24.33,10403,Italy
544169,STK438,Item STK438,6,2024-06-24 08:14:36.763862,47.14,11041,Spain
542169,STK983,Item STK983,21,2024-06-24 08:21:58.763862,50.63,10065,France
547621,STK114,Item STK114,19,2024-06-24 08:25:19.763862,75.0,11468,Italy
537560,STK703,Item STK703,16,2024-06-24 08:28:21.763862,52.56,10900,Germany
541572,STK824,Item STK824,7,2024-06-24 08:44:19.763862,64.79,10337,Italy
548032,STK583,Item STK583,20,2024-06-24 08:50:51.763862,63.69,11091,Germany
549463,STK326,Item STK326,3,2024-06-24 08:51:42.763862,93.95,11789,Italy
C540129,STK983,Item STK983,-30,2024-06-24 09:22:52.763862,91.24,11151,Spain
539853,STK653,Item STK653,20,2024-06-24 09:31:25.763862,13.63,10357,Italy
C542685,STK763,Item STK763,-7,2024-06-24 09:49:13.763862,9.4,10383,Canada
546688,STK870,Item STK870,30,2024-06-24 10:09:41.763862,43.67,11215,France
543430,STK828,Item STK828,4,2024-06-24 10:26:39.763862,55.75,10973,Canada
541165,STK535,Item STK535,22,2024-06-24 10:38:09.763862,60.65,10772,United Kingdom
C545804,STK527,Item STK527,-14,2024-06-24 10:46:07.763862,69.81,10010,Spain
550826,STK497,Item STK497,4,2024-06-24 10:57:39.763862,47.69,10213,Germany
536967,STK325,Item STK325,40,2024-06-24 11:19:47.763862,27.53,10112,Italy
539351,STK329,Item STK329,6,2024-06-24 11:28:01.763862,3.35,11876,Italy
538699,STK523,Item STK523,47,2024-06-24 11:33:37.763862,22.58,11895,Canada
540015,STK396,Item STK396,6,2024-06-24 11:51:43.763862,12.14,10541,Italy
544133,STK136,Item STK136,30,2024-06-24 12:01:35.763862,44.11,10966,Italy
541512,STK814,Item STK814,26,2024-06-24 12:09:14.763862,6.78,10675,Germany
548398,STK667,Item STK667,34,2024-06-24 12:14:55.763862,52.74,10101,Germany
550324,STK773,Item STK773,20,2024-06-24 12:30:21.763862,31.2,11680,India
547038,STK372,Item STK372,19,2024-06-24 12:49:54.763862,15.75,11749,Canada
549208,STK988,Item STK988,33,2024-06-24 13:08:42.763862,43.7,10920,Germany
546010,STK725,Item STK725,17,2024-06-24 13:27:33.763862,19.71,11568,France
540169,STK369,Item STK369,22,2024-06-24 13:29:09.763862,15.97,10617,Italy
547538,STK824,Item STK824,34,2024-06-24 13:41:16.763862,45.72,10032,Canada
C547193,STK540,Item STK540,-12,2024-06-24 14:06:09.763862,25.12,10704,India
542026,STK981,Item STK981,2,2024-06-24 14:13:09.763862,73.81,10647,Germany
550230,STK604,Item STK604,4,2024-06-24 14:27:27.763862,39.27,11999,Germany
548788,STK406,Item STK406,33,2024-06-24 14:28:55.763862,74.09,11449,France
548588,STK350,Item STK350,22,2024-06-24 14:32:47.763862,5.96,10603,USA
540180,STK178,Item STK178,36,2024-06-24 14:43:52.763862,7.9,11443,India
550611,STK565,Item STK565,26,2024-06-24 14:58:30.763862,43.85,11967,Germany
542919,STK164,Item STK164,39,2024-06-24 15:14:04.763862,22.82,11730,Germany
540597,STK754,Item STK754,19,2024-06-24 15:18:14.763862,8.71,11576,Canada
546276,STK996,Item STK996,34,2024-06-24 15:18:24.763862,58.75,10845,USA
550436,STK191,Item STK191,27,2024-06-24 15:25:30.763862,81.33,11308,Canada
536913,STK826,Item STK826,3,2024-06-24 15:35:12.763862,45.82,11835,India
541107,STK202,Item STK202,20,2024-06-24 15:59:04.763862,54.29,10821,India
536373,STK190,Item STK190,42,2024-06-24 15:59:37.763862,72.55,11083,Italy
537364,STK590,Item STK590,23,2024-06-24 16:00:57.763862,72.56,10995,India
538753,STK940,Item STK940,48,2024-06-24 16:03:07.763862,33.47,11514,Canada
537543,STK662,Item STK662,10,2024-06-24 16:05:06.763862,25.08,10118,Canada
547943,STK424,Item STK424,24,2024-06-24 16:13:57.763862,6.5,10859,Spain
546804,STK980,Item STK980,22,2024-06-24 16:22:10.763862,54.77,11349,United Kingdom
543081,STK902,Item STK902,40,2024-06-24 16:33:33.763862,32.69,10708,Spain
549329,STK720,Item STK720,49,2024-06-24 16:35:14.763862,66.95,10053,France
547244,STK113,Item STK113,15,2024-06-24 16:39:07.763862,60.59,10034,USA
550547,STK708,Item STK708,48,2024-06-24 17:06:27.763862,75.25,11402,United Kingdom
550482,STK783,Item STK783,1,2024-06-24 17:13:06.763862,64.99,11802,Germany
549456,STK413,Item STK413,34,2024-06-24 17:16:24.763862,44.29,10061,USA
546102,STK407,Item STK407,6,2024-06-24 17:59:46.763862,7.02,10700,Germany
536681,STK833,Item STK833,39,2024-06-24 18:09:44.763862,56.77,11477,Italy
547966,STK386,Item STK386,46,2024-06-24 18:11:39.763862,60.39,11042,United Kingdom
C546301,STK199,Item STK199,-5,2024-06-24 18:25:45.763862,44.82,10937,Canada
544936,STK611,Item STK611,45,2024-06-24 18:26:49.763862,13.75,10275,France
547071,STK827,Item STK827,29,2024-06-24 18:49:21.763862,28.51,11316,Italy
548650,STK191,Item STK191,5,2024-06-24 18:54:09.763862,35.94,10306,Spain
C538244,STK841,Item STK841,-37,2024-06-24 19:04:39.763862,39.64,10206,Canada
541957,STK500,Item STK500,1,2024-06-24 19:17:19.763862,95.01,11430,India
537994,STK146,Item STK146,22,2024-06-24 19:23:33.763862,25.32,11682,France
551208,STK802,Item STK802,34,2024-06-24 19:28:00.763862,83.33,11958,India
546988,STK558,Item STK558,6,2024-06-24 19:33:09.763862,15.63,10104,Canada
541805,STK385,Item STK385,19,2024-06-24 19:47:52.763862,65.29,10931,United Kingdom
547199,STK833,Item STK833,3,2024-06-24 19:52:40.763862,94.48,11768,France
549596,STK336,Item STK336,20,2024-06-24 20:04:36.763862,35.41,10527,Germany
C542617,STK215,Item STK215,-7,2024-06-24 20:28:15.763862,42.27,10425,France
548226,STK630,Item STK630,22,2024-06-24 20:30:12.763862,30.3,10787,Italy
539899,STK238,Item STK238,24,2024-06-24 20:47:16.763862,71.18,10465,Italy
542684,STK872,Item STK872,11,2024-06-24 20:51:53.763862,5.86,11146,Spain
548084,STK539,Item STK539,2,2024-06-24 21:10:19.763862,41.85,10610,USA
C544605,STK371,Item STK371,-4,2024-06-24 21:13:13.763862,18.57,11763,France
C546438,STK179,Item STK179,-6,2024-06-24 21:24:45.763862,71.19,10703,France
539105,STK689,Item STK689,38,2024-06-24 21:24:49.763862,87.42,11295,United Kingdom
537517,STK202,Item STK202,35,2024-06-24 21:27:50.763862,4.32,11048,Spain
539557,STK488,Item STK488,26,2024-06-24 21:33:30.763862,92.72,10523,Germany
541000,STK199,Item STK199,25,2024-06-24 21:42:41.763862,18.15,11954,India
C546747,STK534,Item STK534,-1,2024-06-24 21:47:09.763862,73.07,11727,Germany
544537,STK685,Item STK685,22,2024-06-24 21:49:17.763862,75.92,11537,Germany
548101,STK809,Item STK809,29,2024-06-24 21:50:08.763862,67.45,10454,Canada
549523,STK426,Item STK426,34,2024-06-24 21:55:38.763862,32.55,11264,India
542012,STK134,Item STK134,33,2024-06-24 22:02:58.763862,29.65,11401,India
550854,STK229,Item STK229,11,2024-06-24 22:30:23.763862,31.06,11823,Spain
543838,STK155,Item STK155,21,2024-06-24 22:31:03.763862,28.44,11540,USA
543184,STK568,Item STK568,22,2024-06-24 22:33:14.763862,46.32,11971,Canada
537847,STK977,Item STK977,23,2024-06-24 22:50:13.763862,15.93,11225,USA
549041,STK151,Item STK151,9,2024-06-24 22:56:14.763862,10.5,11958,Italy
546411,STK197,Item STK197,26,2024-06-24 22:59:27.763862,34.26,11735,Canada
544534,STK427,Item STK427,7,2024-06-24 23:03:39.763862,26.53,10947,France
550310,STK574,Item STK574,19,2024-06-24 23:43:50.763862,43.29,11010,United Kingdom
539530,STK257,Item STK257,36,2024-06-24 23:47:57.763862,21.36,10921,Italy
542567,STK168,Item STK168,2,2024-06-25 00:45:19.763862,16.8,10987,Germany
538180,STK538,Item STK538,24,2024-06-25 01:05:55.763862,4.62,10860,Canada
543987,STK208,Item STK208,38,2024-06-25 01:09:59.763862,61.07,10585,USA
542819,STK892,Item STK892,37,2024-06-25 01:11:16.763862,84.73,11803,United Kingdom
540226,STK551,Item STK551,18,2024-06-25 01:36:36.763862,89.32,11004,Germany
545374,STK873,Item STK873,21,2024-06-25 01:53:09.763862,33.23,11214,Italy
C549858,STK604,Item STK604,-19,2024-06-25 01:59:44.763862,56.7,10110,Germany
550292,STK623,Item STK623,6,2024-06-25 02:37:21.763862,2.93,10618,Italy
544581,STK937,Item STK937,17,2024-06-25 02:54:06.763862,10.4,10042,Italy
545488,STK771,Item STK771,2,2024-06-25 03:04:27.763862,16.95,11095,Italy
548459,STK275,Item STK275,44,2024-06-25 03:07:44.763862,48.08,11001,Spain
